pmid,start_line,end_line
10589520.0,19770,19978
10589842.0,19980,20246
10590163.0,20248,20566
10592026.0,20568,20698
10592191.0,20700,20843
10593891.0,20845,21086
10594101.0,21088,21276
10594103.0,21278,21460
10594119.0,21462,21685
10598098.0,21687,21914
10598101.0,21916,22129
10598102.0,22131,22377
10598106.0,22379,22600
10602771.0,22602,22898
10607661.0,22900,22959
10608665.0,22961,23204
10610683.0,23206,23410
10611328.0,23412,23669
10620332.0,23671,23939
10629001.0,23941,24160
10632703.0,24162,24386
10634904.0,24388,24562
10634908.0,24564,24870
10634912.0,24872,25047
10642799.0,25049,25286
10655501.0,25288,25540
10656404.0,25542,25758
10659768.0,25760,25982
10659784.0,25984,26122
10662487.0,26124,26246
10662858.0,26248,26429
10662861.0,26431,26674
10664615.0,26676,26791
10677216.0,26793,27025
10677424.0,27027,27259
10677449.0,27261,27489
10683263.0,27491,27792
10690402.0,27794,27918
10691635.0,27920,28177
10703051.0,28179,28260
10712529.0,28262,28477
10712553.0,28479,28705
10712557.0,28707,28864
10712559.0,28866,29148
10712561.0,29150,29377
10713449.0,29379,29556
10715324.0,29558,29831
10725175.0,29833,30032
10727935.0,30034,30303
10743663.0,30305,30518
10744665.0,30520,30682
10747073.0,30684,30908
10747941.0,30910,31101
10750898.0,31103,31285
10758479.0,31287,31580
10758483.0,31582,31769
10759498.0,31771,31985
10760246.0,31987,32217
10760596.0,32219,32349
10767543.0,32351,32569
10770930.0,32571,32756
10771064.0,32758,32896
10771065.0,32898,33058
10771066.0,33060,33207
10778756.0,33209,33460
10778757.0,33462,33736
10783171.0,33738,33926
10785664.0,33928,34036
10790406.0,34038,34242
10790408.0,34244,34451
10792824.0,34453,34662
10794539.0,34664,34892
10795313.0,34894,35111
10802626.0,35113,35276
10804466.0,35278,35421
10805454.0,35423,35629
10806233.0,35631,35856
10811786.0,35858,36073
10821183.0,36075,36269
10821836.0,36271,36509
10828499.0,36511,36826
10829033.0,36828,37056
10849339.0,37058,37376
10849356.0,37378,37637
10849362.0,37639,37870
10852479.0,37872,38040
10854418.0,38042,38373
10859173.0,38375,38632
10859178.0,38634,38881
10860552.0,38883,39128
10860831.0,39130,39299
10862752.0,39301,39541
10864924.0,39543,39776
10869188.0,39778,40049
10872218.0,40051,40234
10872229.0,40236,40472
10875337.0,40474,40702
10879473.0,40704,40889
10880496.0,40891,41074
10882141.0,41076,41219
10882531.0,41221,41410
10882732.0,41412,41563
10885800.0,41565,41680
10888542.0,41682,41915
10888583.0,41917,42002
10889248.0,42004,42186
10889253.0,42188,42438
10889260.0,42440,42566
10889447.0,42568,42799
10899147.0,42801,43060
10899972.0,43062,43270
10902683.0,43272,43515
10902711.0,43517,43711
10923700.0,43713,43900
10923704.0,43902,44193
10924483.0,44195,44454
10929132.0,44456,44683
10931203.0,44685,44866
10938350.0,44868,45126
10938801.0,45128,45417
10938803.0,45419,45700
10938864.0,45702,45981
10940470.0,45983,46154
10945351.0,46156,46300
10948005.0,46302,46507
10948219.0,46509,46674
10948251.0,46676,46838
10952901.0,46840,47048
10954420.0,47050,47333
10954592.0,47335,47608
10956642.0,47610,47922
10960739.0,47924,48074
10963671.0,48076,48306
10974551.0,48308,48527
10978296.0,48529,48783
10982423.0,48785,48965
10982449.0,48967,49202
10982450.0,49204,49366
10993158.0,49368,49580
10996317.0,49582,49796
11004492.0,49798,49910
11014829.0,49912,50070
11023861.0,50072,50301
11027726.0,50303,50572
11029706.0,50574,50842
11034549.0,50844,51157
11035954.0,51159,51391
11042140.0,51393,51637
11050182.0,51639,51905
11055125.0,51907,52103
11071931.0,52105,52324
11080288.0,52326,52548
11080589.0,52550,52771
11080595.0,52773,52928
11090212.0,52930,53132
11092880.0,53134,53318
11092904.0,53320,53515
11094984.0,53517,53772
11094985.0,53774,54054
11095727.0,54056,54273
11096099.0,54275,54538
11106370.0,54540,54773
11106389.0,54775,54927
11106394.0,54929,55171
11113165.0,55173,55430
11123803.0,55432,55656
11129045.0,55658,55862
11134937.0,55864,56013
11135115.0,56015,56227
11139515.0,56229,56423
11139517.0,56425,56672
11144264.0,56674,57018
11148280.0,57020,57266
11149933.0,57268,57411
11149942.0,57413,57681
11154337.0,57683,57922
11154342.0,57924,58165
11154345.0,58167,58325
11161016.0,58327,58610
11161024.0,58612,58898
11161056.0,58900,59170
11161058.0,59172,59419
11161067.0,59421,59632
11169184.0,59634,59863
11169186.0,59865,60117
11171156.0,60119,60313
11171214.0,60315,60414
11179231.0,60416,60607
11179662.0,60609,60991
11197328.0,60993,61269
11197329.0,61271,61440
11201743.0,61442,61640
11226188.0,61642,61872
11226233.0,61874,62111
11231894.0,62113,62407
11244098.0,62409,62634
11244102.0,62636,62913
11244110.0,62915,63119
11244112.0,63121,63369
11244116.0,63371,63654
11244119.0,63656,63870
11244120.0,63872,64143
11244131.0,64145,64357
11247600.0,64359,64617
11251096.0,64619,64792
11252725.0,64794,64946
11257527.0,64948,65203
11258887.0,65205,65471
11260493.0,65473,65701
11262019.0,65703,65914
11264415.0,65916,66192
11278346.0,66194,66410
11278810.0,66412,66632
11283348.0,66634,66857
11289598.0,66859,67019
11289600.0,67021,67363
11299357.0,67365,67597
11299358.0,67599,67864
11299373.0,67866,68033
11299394.0,68035,68318
11309138.0,68320,68772
11309147.0,68774,69043
11314948.0,69045,69174
11314951.0,69176,69330
11319035.0,69332,69557
11327766.0,69559,69861
11331778.0,69863,70014
11333248.0,70016,70236
11333250.0,70238,70438
11340182.0,70440,70717
11340186.0,70719,70946
11340194.0,70948,71154
11351085.0,71156,71373
11351090.0,71375,71635
11352460.0,71637,71898
11361001.0,71900,72149
11361132.0,72151,72420
11370876.0,72422,72596
11373305.0,72598,72794
11375930.0,72796,72946
11381131.0,72948,73225
11393516.0,73227,73292
11414694.0,73294,73402
11418120.0,73404,73530
11418234.0,73532,73631
11425228.0,73633,73836
11425313.0,73838,74099
11431702.0,74101,74296
11432937.0,74298,74539
11432953.0,74541,74880
11437249.0,74882,75097
11438686.0,75099,75361
11443740.0,75363,75588
11457899.0,75590,75858
11459177.0,75860,76038
11469594.0,76040,76137
11470895.0,76139,76368
11473712.0,76370,76588
11476586.0,76590,76831
11479340.0,76833,76987
11479377.0,76989,77246
11485551.0,77248,77504
11485556.0,77506,77727
11487702.0,77729,77873
11497466.0,77875,78089
11497470.0,78091,78321
11500546.0,78323,78593
11516148.0,78595,78759
11523644.0,78761,78957
11526080.0,78959,79109
11527579.0,79111,79332
11532912.0,79334,79625
11553732.0,79627,79913
11553733.0,79915,80120
11553745.0,80122,80401
11556781.0,80403,80512
11556788.0,80514,80663
11556798.0,80665,80827
11560905.0,80829,81021
11560906.0,81023,81230
11562485.0,81232,81446
11565746.0,81448,81681
11576430.0,81683,81886
11591643.0,81888,82228
11595803.0,82230,82496
11598223.0,82498,82707
11604527.0,82709,82950
11641280.0,82952,83120
11673879.0,83122,83326
11675493.0,83328,83580
11690643.0,83582,83782
11698411.0,83784,84037
11701888.0,84039,84209
11706162.0,84211,84544
11706179.0,84546,84820
11718894.0,84822,85048
11724563.0,85050,85242
11726712.0,85244,85561
11727997.0,85563,85739
11729163.0,85741,85951
11731083.0,85953,86169
11734897.0,86171,86382
11743090.0,86384,86451
11749971.0,86453,86580
11756687.0,86582,86722
11768210.0,86724,86947
11779810.0,86949,87188
11792865.0,87190,87359
11793225.0,87361,87499
1180876.0,87501,87746
11810245.0,87748,87989
11826304.0,87991,88238
11842154.0,88240,88513
11842162.0,88515,88772
11842167.0,88774,89043
11851909.0,89045,89227
11855730.0,89229,89499
11861572.0,89501,89735
11862488.0,89737,90032
11891246.0,90034,90293
11891262.0,90295,90572
11891269.0,90574,90859
11910007.0,90861,91038
11910016.0,91040,91245
11919712.0,91247,91520
11925041.0,91522,91704
11929961.0,91706,91962
11934852.0,91964,92151
11950968.0,92153,92418
11950982.0,92420,92654
11950997.0,92656,92909
11959909.0,92911,93121
11972021.0,93123,93302
11985616.0,93304,93582
11999829.0,93584,93697
11999835.0,93699,93930
11999837.0,93932,94169
11999839.0,94171,94433
11999844.0,94435,94699
11999848.0,94701,94969
12004892.0,94971,95145
12004893.0,95147,95386
12008896.0,95388,95642
1200976.0,95644,95807
12011174.0,95809,95965
12011348.0,95967,96260
12015123.0,96262,96486
12015291.0,96488,96725
12015294.0,96727,96928
12021847.0,96930,97160
12029467.0,97162,97407
12034905.0,97409,97687
12060248.0,97689,97932
12060715.0,97934,98087
12061899.0,98089,98320
12070096.0,98322,98615
12093897.0,98617,98767
12096094.0,98769,98940
12119379.0,98942,99124
12124299.0,99126,99341
12139002.0,99343,99532
12154122.0,99534,99762
12164805.0,99764,100026
12177455.0,100028,100197
12177502.0,100199,100502
12210609.0,100504,100574
12213771.0,100576,100749
12215518.0,100751,100924
12223414.0,100926,101137
12226496.0,101139,101297
12228359.0,101299,101528
12231744.0,101530,101827
12242248.0,101829,102015
12244216.0,102017,102234
12374297.0,102236,102403
12376627.0,102405,102707
12376656.0,102709,102969
12399313.0,102971,103199
12399399.0,103201,103420
12411574.0,103422,103524
12417704.0,103526,103695
12424380.0,103697,103811
12432032.0,103813,104070
12437077.0,104072,104312
12456753.0,104314,104586
12468731.0,104588,104837
12468742.0,104839,105060
12481045.0,105062,105306
12481046.0,105308,105587
12481048.0,105589,105828
12481049.0,105830,106080
12481051.0,106082,106326
12481072.0,106328,106591
12481088.0,106593,106875
12506005.0,106877,107136
12524364.0,107138,107370
12527208.0,107372,107605
12527770.0,107607,107871
12552152.0,107873,107985
12566579.0,107987,108262
12569425.0,108264,108485
12571106.0,108487,108753
12581304.0,108755,109097
12582547.0,109099,109224
12582879.0,109226,109418
12586875.0,109420,109696
12586885.0,109698,109961
12596729.0,109963,110111
12598583.0,110113,110219
12602870.0,110221,110404
12611901.0,110406,110678
12615940.0,110680,110857
12620350.0,110859,110945
12642642.0,110947,111141
12644686.0,111143,111431
12671084.0,111433,111634
12671748.0,111636,111839
12677406.0,111841,112128
12677407.0,112130,112379
12692340.0,112381,112638
12695517.0,112640,112857
12695853.0,112859,113039
12702653.0,113041,113297
12724540.0,113299,113527
12727355.0,113529,113788
12734755.0,113790,114064
12748766.0,114066,114291
12750475.0,114293,114552
12787250.0,114554,114825
12805620.0,114827,115070
1282235.0,115072,115295
1284657.0,115297,115520
12853580.0,115522,115757
12856940.0,115759,115988
12857845.0,115990,116279
12871917.0,116281,116566
12881426.0,116568,116757
12897253.0,116759,116928
12897254.0,116930,117070
12897261.0,117072,117282
12897863.0,117284,117597
12913150.0,117599,117731
12913155.0,117733,117964
12913162.0,117966,118243
12913163.0,118245,118506
12913173.0,118508,118757
12940957.0,118759,119032
12952903.0,119034,119330
1295730.0,119332,119578
12966093.0,119580,119749
12972653.0,119751,119879
12972660.0,119881,120098
1302051.0,120100,120317
1302645.0,120319,120449
1310057.0,120451,120545
1310086.0,120547,120797
1311699.0,120799,121036
1312981.0,121038,121153
1313711.0,121155,121436
1316302.0,121438,121809
1317315.0,121811,122012
1325389.0,122014,122225
1327340.0,122227,122389
1332797.0,122391,122552
1334743.0,122554,122707
1334895.0,122709,122956
1334918.0,122958,123342
1337370.0,123344,123610
1346929.0,123612,123737
1349773.0,123739,123845
1349837.0,123847,124079
1354614.0,124081,124301
1356534.0,124303,124491
1356536.0,124493,124630
1359642.0,124632,124751
1360933.0,124753,125040
1362381.0,125042,125260
13677464.0,125262,125529
1372246.0,125531,125724
1376405.0,125726,125924
1379734.0,125926,126072
1382980.0,126074,126372
1392590.0,126374,126679
1392595.0,126681,126979
1400453.0,126981,127294
1421149.0,127296,127468
1421155.0,127470,127616
1425699.0,127618,127777
1427078.0,127779,128018
1429504.0,128020,128263
1438207.0,128265,128452
1445181.0,128454,128558
14500790.0,128560,128856
14500901.0,128858,129134
14501057.0,129136,129308
14501064.0,129310,129417
1450375.0,129419,129626
14504297.0,129628,129931
14523521.0,129933,130222
14523526.0,130224,130448
14526073.0,130450,130570
14556050.0,130572,130892
14557881.0,130894,131102
14573487.0,131104,131332
14573488.0,131334,131542
14573493.0,131544,131774
14576282.0,131776,132050
14594706.0,132052,132162
14605221.0,132164,132438
14617068.0,132440,132687
14624338.0,132689,133021
1463822.0,133023,133153
1463825.0,133155,133340
14645729.0,133342,133594
14657329.0,133596,133835
14657403.0,133837,134025
14657407.0,134027,134283
14659705.0,134285,134412
14660797.0,134414,134528
14668398.0,134530,134721
14675435.0,134723,134939
14676946.0,134941,135252
14682619.0,135254,135508
14684927.0,135510,135610
1468633.0,135612,135889
14688289.0,135891,136151
14701934.0,136153,136329
14704191.0,136331,136599
14704193.0,136601,136827
14704428.0,136829,136943
14717609.0,136945,137187
14729259.0,137189,137475
14730079.0,137477,137753
14740012.0,137755,137875
14742877.0,137877,138100
14760521.0,138102,138367
14764905.0,138369,138594
1477558.0,138596,138795
1486797.0,138797,138946
1495490.0,138948,139208
14963709.0,139210,139513
14973167.0,139515,139741
14979520.0,139743,139889
1498600.0,139891,140048
1498612.0,140050,140231
14988489.0,140233,140490
14999285.0,140492,140688
15020478.0,140690,140919
15020742.0,140921,141223
15034715.0,141225,141555
15037734.0,141557,141754
15047902.0,141756,142041
15061810.0,142043,142267
15061811.0,142269,142542
15064375.0,142544,142713
15070781.0,142715,142975
15075398.0,142977,143247
1508150.0,143249,143474
15082562.0,143476,143699
15082928.0,143701,144067
15084729.0,144069,144282
15105441.0,144284,144450
15107503.0,144452,144694
15122037.0,144696,144912
15125772.0,144914,145043
15126409.0,145045,145251
15127223.0,145253,145405
15138821.0,145407,145677
15141070.0,145679,145857
1515612.0,145859,146052
15159549.0,146054,146268
15159621.0,146270,146507
15161968.0,146509,146699
15165181.0,146701,146923
15165185.0,146925,147166
1516751.0,147168,147454
15169755.0,147456,147733
15179549.0,147735,148007
15194819.0,148009,148244
15196053.0,148246,148527
15208386.0,148529,148753
15220389.0,148755,148883
15221456.0,148885,149067
15225879.0,149069,149237
1522603.0,149239,149512
1522605.0,149514,149789
15237968.0,149791,150067
15245332.0,150069,150343
15246058.0,150345,150548
15253937.0,150550,150800
15257762.0,150802,151123
1527010.0,151125,151320
1527026.0,151322,151580
15280246.0,151582,151806
15280251.0,151808,152031
15296088.0,152033,152223
15305606.0,152225,152438
15308333.0,152440,152669
15321719.0,152671,152850
1532784.0,152852,152996
15329722.0,152998,153174
15342478.0,153176,153502
15342530.0,153504,153663
15342531.0,153665,153809
15342532.0,153811,154004
15342909.0,154006,154208
15347785.0,154210,154467
15355346.0,154469,154705
15355866.0,154707,155032
1535626.0,155034,155276
15363843.0,155278,155478
15448177.0,155480,155743
15466289.0,155745,155955
15466291.0,155957,156093
15475375.0,156095,156315
15499410.0,156317,156534
15517148.0,156536,156774
15517990.0,156776,157025
1551872.0,157027,157240
15520264.0,157242,157439
15541299.0,157441,157670
15542500.0,157672,157900
15545295.0,157902,158222
15546363.0,158224,158421
15551040.0,158423,158717
15564524.0,158719,158938
15564534.0,158940,159197
15567410.0,159199,159458
15577912.0,159460,159640
15579713.0,159642,159883
15587076.0,159885,160019
1558957.0,160021,160140
15596104.0,160142,160370
15598799.0,160372,160655
15599762.0,160657,160844
15604657.0,160846,161100
15604667.0,161102,161357
15604718.0,161359,161639
15604747.0,161641,161971
15604752.0,161973,162206
15611182.0,162208,162422
15611184.0,162424,162643
15644172.0,162645,162816
1565662.0,162818,163111
15659635.0,163113,163393
15667207.0,163395,163615
15681383.0,163617,163735
15681663.0,163737,163860
15684019.0,163862,164160
15689530.0,164162,164442
15700421.0,164444,164721
15705951.0,164723,164991
15716051.0,164993,165075
15716347.0,165077,165313
15719212.0,165315,165687
15722466.0,165689,165890
15731930.0,165892,166188
15746157.0,166190,166433
1577169.0,166435,166540
1577278.0,166542,166881
15793573.0,166883,167043
15805107.0,167045,167307
15805483.0,167309,167546
15806344.0,167548,167878
15821872.0,167880,168109
15829513.0,168111,168347
15830133.0,168349,168566
15834137.0,168568,168781
15837706.0,168783,169030
15838668.0,169032,169170
15849299.0,169172,169368
15849306.0,169370,169619
15883011.0,169621,169786
15888682.0,169788,170003
15891912.0,170005,170255
15897229.0,170257,170525
15907695.0,170527,170663
15908951.0,170665,170832
15912345.0,170834,171044
15913312.0,171046,171201
15916952.0,171203,171425
15918884.0,171427,171649
1592237.0,171651,171864
15927342.0,171866,172129
15937132.0,172131,172361
15937141.0,172363,172579
15939664.0,172581,172731
15941398.0,172733,172980
15950610.0,172982,173166
15951422.0,173168,173438
15956664.0,173440,173701
15958531.0,173703,173890
15958796.0,173892,173990
1596272.0,173992,174229
15965263.0,174231,174459
15979170.0,174461,174702
15980185.0,174704,174917
15980188.0,174919,175143
15980192.0,175145,175314
15980197.0,175316,175594
15998316.0,175596,175904
1600153.0,175906,176010
16005581.0,176012,176211
16008521.0,176213,176417
16020780.0,176419,176625
16021501.0,176627,176864
16025339.0,176866,177147
16027978.0,177149,177367
1603067.0,177369,177628
16034586.0,177630,177898
16041362.0,177900,178088
16056225.0,178090,178286
16079849.0,178288,178476
16101924.0,178478,178709
16120446.0,178711,179036
16120802.0,179038,179293
16132467.0,179295,179525
16141451.0,179527,179778
16143613.0,179780,179981
16146520.0,179983,180222
1616479.0,180224,180364
16167895.0,180366,180641
16170456.0,180643,180868
16183851.0,180870,181096
16199614.0,181098,181274
1620095.0,181276,181497
16204211.0,181499,181727
16230639.0,181729,181960
1623178.0,181962,182114
1623180.0,182116,182239
16240181.0,182241,182407
16243905.0,182409,182629
16244141.0,182631,182873
16244856.0,182875,183127
16247560.0,183129,183403
16270225.0,183405,183585
1627771.0,183587,183891
1627781.0,183893,184048
16299185.0,184050,184305
16299389.0,184307,184531
16307364.0,184533,184776
16331466.0,184778,185068
1633495.0,185070,185247
16336045.0,185249,185461
16359397.0,185463,185659
16361393.0,185661,185869
16362327.0,185871,186079
16367968.0,186081,186329
16367969.0,186331,186588
16379013.0,186590,186782
16395569.0,186784,187039
16395584.0,187041,187213
16399802.0,187215,187458
16407440.0,187460,187733
16415333.0,187735,187979
16418295.0,187981,188193
16460507.0,188195,188469
16461583.0,188471,188704
16463062.0,188706,188885
16463102.0,188887,189066
1648001.0,189068,189277
1648169.0,189279,189443
16492777.0,189445,189623
1653403.0,189625,189877
16547863.0,189879,190088
1657702.0,190090,190298
16582446.0,190300,190514
1658596.0,190516,190650
1660568.0,190652,190737
16606624.0,190739,191009
16607513.0,191011,191211
1660830.0,191213,191427
1661256.0,191429,191641
1661257.0,191643,191826
1661668.0,191828,192055
1664299.0,192057,192207
1668652.0,192209,192391
1668653.0,192393,192616
16688177.0,192618,192774
1668837.0,192776,193149
16696949.0,193151,193310
16702420.0,193312,193530
16709191.0,193532,193780
1673220.0,193782,194032
1674815.0,194034,194219
16751673.0,194221,194418
16752131.0,194420,194734
16784536.0,194736,195096
16798950.0,195098,195353
16816430.0,195355,195572
16820394.0,195574,195796
1682214.0,195798,196045
1682215.0,196047,196293
16844839.0,196295,196597
16849604.0,196599,196820
16849609.0,196822,197039
16855589.0,197041,197218
16858691.0,197220,197392
16868028.0,197394,197569
1688125.0,197571,197812
16891549.0,197814,198077
1692018.0,198079,198232
16925599.0,198234,198461
16925601.0,198463,198621
16941210.0,198623,198836
16951074.0,198838,199038
16968137.0,199040,199218
1697818.0,199220,199355
16984999.0,199357,199588
16987950.0,199590,199686
17001496.0,199688,199868
17005920.0,199870,200159
1700963.0,200161,200322
17010110.0,200324,200557
1701208.0,200559,200719
1701749.0,200721,201004
1702215.0,201006,201215
17029561.0,201217,201346
17041147.0,201348,201581
17062571.0,201583,201846
17071639.0,201848,202037
17071646.0,202039,202275
17071648.0,202277,202553
17073305.0,202555,202834
1708720.0,202836,203035
1709276.0,203037,203248
17094807.0,203250,203594
17095711.0,203596,203830
17101975.0,203832,204104
17132148.0,204106,204405
1714315.0,204407,204631
1714322.0,204633,204896
1714383.0,204898,205047
1715206.0,205049,205323
17167201.0,205325,205526
1717817.0,205528,205785
17179091.0,205787,206039
1719548.0,206041,206285
1720313.0,206287,206428
17204643.0,206430,206544
17209126.0,206546,206758
17220362.0,206760,207030
17225858.0,207032,207356
1722972.0,207358,207530
17244631.0,207532,207778
17259266.0,207780,208019
1726722.0,208021,208240
17305816.0,208242,208426
17307899.0,208428,208641
1731354.0,208643,208873
1731773.0,208875,209026
1731984.0,209028,209274
17320501.0,209276,209326
17322406.0,209328,209553
17351787.0,209555,209770
1735665.0,209772,209885
1736099.0,209887,210165
17369828.0,210167,210335
17384163.0,210337,210524
17403777.0,210526,210642
17425722.0,210644,210880
17434986.0,210882,211137
17435245.0,211139,211359
17437065.0,211361,211619
1744135.0,211621,211894
17449648.0,211896,212131
17456599.0,212133,212371
17461782.0,212373,212565
17468264.0,212567,212764
17486311.0,212766,212978
17490480.0,212980,213238
17507687.0,213240,213438
1752424.0,213440,213622
17524611.0,213624,213812
17535825.0,213814,214113
1756176.0,214115,214193
17562699.0,214195,214487
17573537.0,214489,214710
17595297.0,214712,214880
17612519.0,214882,215063
17643192.0,215065,215231
17658954.0,215233,215454
17660568.0,215456,215681
17660570.0,215683,215980
17662031.0,215982,216152
17668219.0,216154,216405
1766868.0,216407,216655
17672843.0,216657,216932
17676037.0,216934,217105
17684023.0,217107,217424
17693527.0,217426,217682
17693529.0,217684,217911
17696876.0,217913,218125
17709752.0,218127,218370
17722696.0,218372,218606
17768306.0,218608,218808
1783393.0,218810,218981
17922288.0,218983,219272
17923671.0,219274,219443
17928372.0,219445,219718
17932309.0,219720,220114
17940002.0,220116,220355
17941719.0,220357,220569
17947410.0,220571,220796
17947434.0,220798,221017
17993543.0,221019,221283
18026103.0,221285,221461
18052885.0,221463,221708
18052887.0,221710,221965
18065687.0,221967,222169
18083907.0,222171,222394
18156218.0,222396,222628
18162592.0,222630,222914
1817577.0,222916,223022
18192444.0,223024,223224
18202289.0,223226,223368
18202357.0,223370,223600
18202358.0,223602,223824
18202393.0,223826,224009
18203869.0,224011,224289
1821766.0,224291,224531
18218972.0,224533,224798
18218975.0,224800,225158
1822992.0,225160,225354
18230731.0,225356,225595
18239133.0,225597,225810
18245455.0,225812,226090
18278045.0,226092,226290
18285342.0,226292,226504
18296625.0,226506,226729
18296628.0,226731,226963
18298667.0,226965,227190
18301915.0,227192,227404
18301989.0,227406,227612
1830496.0,227614,227730
18311542.0,227732,228051
18316315.0,228053,228306
18327644.0,228308,228510
1837331.0,228512,228754
18399934.0,228756,228971
1840396.0,228973,229148
1840527.0,229150,229283
1840689.0,229285,229383
1840906.0,229385,229562
1840923.0,229564,229791
1840924.0,229793,229957
18427771.0,229959,230097
18430213.0,230099,230187
18430921.0,230189,230422
18430961.0,230424,230487
18433931.0,230489,230747
18464041.0,230749,231007
18466309.0,231009,231235
18470186.0,231237,231475
18470191.0,231477,231764
1849854.0,231766,232024
18508954.0,232026,232304
18516584.0,232306,232538
18524777.0,232540,232742
18539775.0,232744,233012
18557906.0,233014,233198
18564380.0,233200,233342
18591259.0,233344,233565
1859865.0,233567,233731
18669444.0,233733,233952
18676978.0,233954,234178
18688729.0,234180,234389
18701544.0,234391,234615
18712342.0,234617,234818
18723774.0,234820,234993
18757553.0,234995,235220
18781168.0,235222,235422
18790999.0,235424,235700
18791250.0,235702,235921
18797872.0,235923,236120
18799595.0,236122,236340
18799737.0,236342,236572
18800226.0,236574,236824
18805949.0,236826,237064
18830706.0,237066,237260
18832363.0,237262,237472
18845841.0,237474,237705
1886613.0,237707,237956
1889090.0,237958,238092
1889816.0,238094,238238
18923021.0,238240,238503
18937034.0,238505,238813
18937917.0,238815,239039
18941469.0,239041,239307
18944622.0,239309,239566
18974402.0,239568,239697
18987217.0,239699,239924
18997117.0,239926,240158
1899843.0,240160,240345
19001287.0,240347,240667
19002491.0,240669,240875
19011084.0,240877,241043
19054347.0,241045,241257
19073779.0,241259,241528
1912492.0,241530,241795
19131630.0,241797,241945
19132874.0,241947,242165
19153156.0,242167,242283
19154226.0,242285,242493
1915859.0,242495,242591
19168717.0,242593,242840
19179535.0,242842,242984
19181865.0,242986,243225
19204030.0,243227,243502
19204280.0,243504,243702
19227973.0,243704,243976
19234085.0,243978,244196
19234120.0,244198,244422
19237309.0,244424,244544
19251626.0,244546,244689
19251672.0,244691,244724
19254800.0,244726,244951
19255365.0,244953,245158
19255366.0,245160,245225
19258439.0,245227,245453
19261072.0,245455,245676
19299561.0,245678,245811
1932692.0,245813,245992
19336692.0,245994,246150
19346441.0,246152,246454
19352751.0,246456,246812
1937012.0,246814,247049
1939268.0,247051,247260
19392686.0,247262,247485
19424177.0,247487,247696
19424435.0,247698,247936
19436049.0,247938,248228
19453441.0,248230,248512
19466451.0,248514,248758
19474204.0,248760,248970
19504256.0,248972,249180
19521498.0,249182,249498
19556707.0,249500,249740
19562507.0,249742,249897
19567707.0,249899,250108
19574436.0,250110,250320
19575479.0,250322,250378
19577780.0,250380,250656
19592501.0,250658,250927
19597726.0,250929,251203
1961737.0,251205,251366
19625637.0,251368,251621
19636587.0,251623,251835
1963954.0,251837,251901
19641027.0,251903,252183
1964592.0,252185,252356
19646721.0,252358,252559
19661422.0,252561,252702
19661427.0,252704,252840
1967030.0,252842,252974
1967051.0,252976,253189
1967077.0,253191,253415
19682768.0,253417,253665
19684578.0,253667,253898
1968659.0,253900,254057
19712949.0,254059,254277
1971947.0,254279,254519
19719482.0,254521,254714
19721751.0,254716,254921
19749152.0,254923,255133
19759348.0,255135,255413
1976254.0,255415,255629
19767386.0,255631,255861
1977657.0,255863,256110
19789288.0,256112,256286
19805815.0,256288,256500
19822732.0,256502,256727
19825655.0,256729,256971
19854860.0,256973,257188
19884313.0,257190,257352
