pmid,annotations
10642799.0,"leaf, development, leaves, leaves"
10655501.0,
10656404.0,
10659768.0,
10659784.0,
10662487.0,
10662858.0,
10662861.0,
10664615.0,"meristem, identity, meristem, identity, floral, organ, identity, meristem, identity"
10677216.0,
10677424.0,"protein, synthesis, protein, synthesis, protein, synthesis, protein, synthesis, protein, synthesis"
10677449.0,
10683263.0,"PPDK, PPDK, PPDK"
10690402.0,yield
10691635.0,
10703051.0,
10712529.0,leaves
10712553.0,leaves
10712557.0,"flowering, root, development"
10712559.0,
10712561.0,"ABA, content, morphological"
10713449.0,beta-fructosidase
10715324.0,"chromosome, chromosome, chromosome, chromosome"
10725175.0,
10727935.0,"protein, synthesis, seed"
10743663.0,
10744665.0,
10747073.0,
10747941.0,
10750898.0,
10758479.0,"PEPC, bZIP"
10758483.0,
10759498.0,
10760246.0,
10760596.0,
10767543.0,
10770930.0,
10771064.0,
10771065.0,
10771066.0,
10778756.0,leaves
10778757.0,"seed, seed, beta-fructosidase"
10783171.0,leaves
10785664.0,
10790406.0,"chromosome, pigmentation"
10790408.0,end
10792824.0,
10794539.0,seed
10795313.0,SDS
10802626.0,
10804466.0,
10805454.0,leaves
10806233.0,"leaves, PEPC, PEPC, PEPC"
10811786.0,"leaf, rolling"
10821183.0,
10821836.0,leaves
10828499.0,
10829033.0,
10849339.0,
10849356.0,
10849362.0,transformation
10852479.0,
10854418.0,"chromosome, chromosome"
10859173.0,
10859178.0,
10860552.0,"branching, branching, branching, branching, branching, branching"
10860831.0,
10862752.0,"cotyledon, height, embryogenesis"
10864924.0,
10869188.0,
10872218.0,leaves
10872229.0,"leaves, leaves, leaves, leaves"
10875337.0,"root, rot"
10879473.0,"leaves, leaves, leaves"
10880496.0,"leaf, development, leaves, chromosome, leaves, leaves"
10882141.0,"organ, identity, male, sterile"
10882531.0,"leaves, chlorosis"
10882732.0,
10885800.0,
10888542.0,
10888583.0,
10889248.0,
10889253.0,
10889260.0,
10889447.0,"leaves, response, to, jasmonic, acid, leaves"
10899147.0,
10899972.0,"fall, armyworm"
10902683.0,
10902711.0,chromosome
10923700.0,
10923704.0,"leaves, leaves, leaves"
10924483.0,"pigmentation, pigmentation, pigmentation"
10929132.0,
10931203.0,space
10938350.0,
10938801.0,"leaves, leaves, SOD, leaves"
10938803.0,"leaves, leaves, leaves, leaves, leaves"
10938864.0,"protein, synthesis"
10940470.0,
10945351.0,"response, to, heat, stress"
10948005.0,
10948219.0,
10948251.0,
10952901.0,"anthocyanin, pigmentation, chromosome"
10954420.0,"chromosome, chromosome, chromosome, chromosome, chromosome"
10954592.0,
10956642.0,
10960739.0,SDS
10963671.0,
10974551.0,
10978296.0,"chromosome, chromosome, chromosome, chromosome, chromosome, chromosome, chromosome, chromosome, chromosome, chromosome"
10982423.0,"acid, invertase"
10982449.0,"seed, seed, seed, chromosome, seed, seed, seed, seed, seed, seed, seed, seed"
10982450.0,
10993158.0,
10996317.0,"GM, GM, GM"
11004492.0,
11014829.0,transformation
11023861.0,"leaf, development, leaf, margin, leaf, development"
11027726.0,"isoflavone, synthase"
11029706.0,
11034549.0,"flowering, flowering"
11035954.0,
11042140.0,
11050182.0,leaves
11055125.0,chromosome
11071931.0,
11080288.0,
11080589.0,
11080595.0,
11090212.0,
11092880.0,transformation
11092904.0,leaves
11094984.0,photosynthesis
11094985.0,"flowering, flowering, flowering"
11095727.0,bHLH
11096099.0,
11106370.0,"beet, armyworm, chromosome, leaves, beet, armyworm, leaves"
11106389.0,
11106394.0,
11113165.0,"leaves, SOD, cold, tolerance, SOD, SOD, SOD, SOD, SOD, SOD, SOD"
11123803.0,
11129045.0,
11134937.0,space
11135115.0,"leaves, tassel, development"
11139515.0,"chromosome, chromosome"
11139517.0,pigmentation
11144264.0,"leaves, leaves, GS, GS, GS"
11148280.0,
11149933.0,"leaf, development"
11149942.0,"branching, leaves"
11154337.0,"aluminum, toxicity"
11154342.0,"branching, SP, SP, SP, SP, SP, SP"
11154345.0,
11161016.0,
11161024.0,"seed, seed, seed, seed, seed"
11161056.0,
11161058.0,"leaves, methyltransferase, activity"
11161067.0,
11169184.0,
11169186.0,"fertilization, fertilization"
11171156.0,"seed, seed"
11171214.0,
11179231.0,
11179662.0,flowering
11197328.0,
11197329.0,"embryogenesis, flowering, fertilization, embryogenesis, embryogenesis"
11201743.0,"yield, iron, uptake, iron, uptake"
11226188.0,
11226233.0,leaves
11231894.0,
11244098.0,
11244102.0,
11244110.0,
11244112.0,"branching, chromosome, flowering"
11244116.0,"seed, seed, seed, seed, seed"
11244119.0,"end, branching, branching"
11244120.0,
11244131.0,"root, development"
11247600.0,
11251096.0,
11252725.0,
11257527.0,"leaves, leaves, PEPC, PEPC"
11258887.0,
11260493.0,
11262019.0,
11264415.0,"bHLH, morphological"
11278346.0,"nickel, content"
11278810.0,"seed, seed"
11283348.0,
11289598.0,
11289600.0,"protein, synthesis, protein, synthesis"
11299357.0,"free, amino, acids, chromosome, chromosome"
11299358.0,"amino, acid, content, chromosome, amino, acid, content"
11299373.0,seed
11299394.0,"space, space, space"
11309138.0,"branching, branching"
11309147.0,leaves
11314948.0,
11314951.0,"leaves, leaves"
11319035.0,
11327766.0,
11331778.0,
11333248.0,
11333250.0,
11340182.0,"male, fertility, male, sterile, male, fertility"
11340186.0,leaves
11340194.0,
11351085.0,
11351090.0,"stress, response, stress, response, stress, response, stress, response, seed"
11352460.0,"leaves, leaves"
11361001.0,"branching, branching, branching, branching, branching"
11361132.0,"SP, SP"
11370876.0,"leaves, leaves"
11373305.0,
11375930.0,
11381131.0,"herbicide, sensitivity"
11393516.0,transformation
11414694.0,
11418120.0,"ADF, ADF, ADF"
11418234.0,seed
11425228.0,
11425313.0,
11431702.0,"flowering, flowering, flowering, flowering"
11432937.0,
11432953.0,
11437249.0,transformation
11438686.0,"chromosome, chromosome"
11443740.0,
11457899.0,
11459177.0,seed
11469594.0,
11470895.0,"chromosome, chromosome, chromosome"
11473712.0,"NADH-glutamate, synthase, leaves, leaves, leaves"
11476586.0,
11479340.0,
11479377.0,"SDS, SDS, SDS"
11485551.0,
11485556.0,"protein, synthesis"
11487702.0,
11497466.0,
11497470.0,"seed, seed"
11500546.0,
11516148.0,
11523644.0,"embryogenesis, chromosome, chromosome"
11526080.0,"leaves, BS, leaves, BS, BS"
11527579.0,"PEPC, PEPC, PEPC, PEPC"
11532912.0,
11553732.0,"node, number, embryogenesis, fertilization, height, seed, male, sterility"
11553733.0,"seed, seed"
11553745.0,"ADP-glucose, pyrophosphorylase, ADP-glucose, pyrophosphorylase, seed"
11556781.0,
11556788.0,"chromosome, chromosome"
11556798.0,
11560905.0,"chromosome, chromosome, chromosome, chromosome, chromosome"
11560906.0,"seed, fertilization, seed, seed, seed, seed, chromosome, chromosome"
11562485.0,flowering
11565746.0,
11576430.0,"pigmentation, pigmentation, pigmentation, pigmentation"
11591643.0,"chromosome, space"
11595803.0,seed
11598223.0,"chromosome, chromosome"
11604527.0,
11641280.0,
11673879.0,
11675493.0,
11690643.0,end
11698411.0,
11701888.0,
11706162.0,"stress, response"
11706179.0,
11718894.0,
11724563.0,leaves
11726712.0,"leaves, leaves, leaves"
11727997.0,
11729163.0,
11731083.0,
11734897.0,"chromosome, NOD"
11743090.0,
11749971.0,
11756687.0,flowering
11768210.0,
11779810.0,"seed, seed"
11792865.0,chromosome
11793225.0,chromosome
1180876.0,"leaves, leaves"
11810245.0,"end, end"
11826304.0,"leaves, flowering, shoot, development"
11842154.0,leaves
11842162.0,"gravitropism, acid, invertase, acid, invertase, protein, synthesis"
11842167.0,
11851909.0,"chromosome, chromosome"
11855730.0,"end, leaves, leaves, leaves"
11861572.0,
11862488.0,"seed, seed"
11891246.0,
11891262.0,"seed, bHLH, bHLH"
11891269.0,
11910007.0,chromosome
11910016.0,chromosome
11919712.0,"protein, synthesis, leaves"
11925041.0,
11929961.0,
11934852.0,
11950968.0,"branching, GS"
11950982.0,fertilization
11950997.0,
11959909.0,
11972021.0,
11985616.0,
11999829.0,
11999835.0,"grain, quality"
11999837.0,"flowering, chromosome, node, number"
11999839.0,"FHB, FHB, chromosome, chromosome, chromosome, chromosome, FHB, FHB, chromosome, FHB"
11999844.0,"grain, yield, grain, yield, drought, tolerance, primary, root, length, primary, root, diameter, primary, root, weight, chromosome"
11999848.0,"male, sterility"
12004892.0,
12004893.0,
12008896.0,
1200976.0,
12011174.0,"chromosome, chromosome"
12011348.0,"leaves, transformation"
12015123.0,
12015291.0,"meristem, determinacy, meristem, identity, meristem, determinacy"
12015294.0,
12021847.0,"embryogenesis, seed"
12029467.0,"embryogenesis, somatic, embryogenesis, somatic, embryogenesis, somatic, embryogenesis, somatic, embryogenesis"
12034905.0,
12060248.0,"protein, synthesis, protein, synthesis"
12060715.0,"hybrid, vigor"
12061899.0,embryogenesis
12070096.0,"leaf, development"
12093897.0,
12096094.0,"end, space"
12119379.0,chromosome
12124299.0,
12139002.0,
12154122.0,
12164805.0,
12177455.0,
12177502.0,"bZIP, protein, kinase, activity"
12210609.0,
12213771.0,end
12215518.0,
12223414.0,leaves
12226496.0,flowering
12228359.0,"seed, seed, seed, seed, cotyledon, seed"
12231744.0,"cotyledon, cotyledon"
12242248.0,
12244216.0,
12374297.0,
12376627.0,"kernel, development"
12376656.0,
12399313.0,embryogenesis
12399399.0,
12411574.0,supernodulation
12417704.0,chromosome
12424380.0,"meristem, identity, meristem, identity"
12432032.0,"abscisic, acid, accumulation, leaves, leaves, leaves"
12437077.0,"male, fertility, microspore, development"
12456753.0,"chromosome, chromosome"
12468731.0,embryogenesis
12468742.0,"CMS, CMS"
12481045.0,chromosome
12481046.0,chromosome
12481048.0,"CMS, CMS"
12481049.0,
12481051.0,"chromosome, chromosome, chromosome"
12481072.0,
12481088.0,
12506005.0,
12524364.0,"chromosome, chromosome"
12527208.0,
12527770.0,
12552152.0,
12566579.0,
12569425.0,"MLO, MLO, MLO"
12571106.0,"meristem, identity, branching, branching, meristem, identity, determinacy"
12581304.0,bZIP
12582547.0,"chromosome, chromosome"
12582879.0,"carbon, isotope, discrimination, carbon, isotope, discrimination, drought, tolerance, yield, drought, tolerance"
12586875.0,seed
12586885.0,
12596729.0,chromosome
12598583.0,
12602870.0,
12611901.0,"potassium, uptake, leaves"
12615940.0,
12620350.0,
12642642.0,"aleurone, color, aleurone, color, aleurone, color, chromosome, aleurone, color, chromosome, aleurone, color, aleurone, color, seed, color"
12644686.0,
12671084.0,
12671748.0,"chromosome, FHB, FHB, FHB"
12677406.0,chromosome
12677407.0,"yield, yield"
12692340.0,
12695517.0,"leaves, transformation"
12695853.0,flowering
12702653.0,"meristem, identity, meristem, identity, flowering, floral, organ, identity, floral, organ, identity, phyllotaxy"
12724540.0,
12727355.0,
12734755.0,"chromosome, chromosome, chromosome"
12748766.0,"chromosome, chromosome"
12750475.0,leaves
12787250.0,fertilization
12805620.0,
1282235.0,
1284657.0,"superoxide, dismutase, activity"
12853580.0,"chromosome, heterosis"
12856940.0,"leaves, leaves"
12857845.0,"seed, bZIP"
12871917.0,end
12881426.0,
12897253.0,"endosperm, color"
12897254.0,"chromosome, chromosome"
12897261.0,
12897863.0,"seed, yield, reaction, to, Fusarium, graminearum, FHB, FHB, FHB, FHB, FHB, FHB, FHB, DON, accumulation"
12913150.0,
12913155.0,
12913162.0,
12913163.0,
12913173.0,
12940957.0,"chromosome, chromosome, chromosome, chromosome"
12952903.0,"seed, seed, globular, embryo"
1295730.0,
12966093.0,
12972653.0,
12972660.0,
1302051.0,"photosynthesis, leaves, PEPC"
1302645.0,"embryogenesis, stress, response"
1310057.0,
1310086.0,
1311699.0,
1312981.0,
1313711.0,
1316302.0,
1317315.0,end
1325389.0,
1327340.0,
1332797.0,
1334743.0,"transformation, transformation, transformation"
1334895.0,
1334918.0,
1337370.0,"end, chromosome, chromosome, chromosome"
1346929.0,
1349773.0,leaves
1349837.0,"seed, seed"
1354614.0,chromosome
1356534.0,
1356536.0,chromosome
1359642.0,
1360933.0,
1362381.0,"leaves, leaves"
13677464.0,
1372246.0,
1376405.0,
1379734.0,
1382980.0,embryogenesis
1392590.0,
1392595.0,end
1400453.0,
1421149.0,
1421155.0,
1425699.0,flowering
1427078.0,"seed, transformation, seed"
1429504.0,"photosynthesis, photosynthesis"
1438207.0,
1445181.0,
14500790.0,"leaves, leaves, leaf, development, leaf, margin, leaves"
14500901.0,
14501057.0,leaves
14501064.0,
1450375.0,
14504297.0,"carotenoid, content, chromosome"
14523521.0,"chromosome, chromosome, chromosome"
14523526.0,"germination, rate"
14526073.0,"plant, height, height"
14556050.0,"FHB, yield, FHB, FHB, severity, FHB, severity, FHB, FHB, FHB, chromosome"
14557881.0,
14573487.0,"male, sterility, CMS"
14573488.0,
14573493.0,
14576282.0,"chromosome, chromosome"
14594706.0,
14605221.0,leaves
14617068.0,leaves
14624338.0,"chromosome, chromosome, chromosome"
1463822.0,
1463825.0,
14645729.0,
14657329.0,"nonphotochemical, quenching"
14657403.0,"kernel, development, kernel, development, leaves, invertase, activity"
14657407.0,"opaque, endosperm"
14659705.0,
14660797.0,
14668398.0,"leaf, development, morphological, liguleless, leaves, liguleless"
14675435.0,chromosome
14676946.0,"test, weight, seed"
14682619.0,"alpha-linolenic, acid, wound, response"
14684927.0,"pyruvate, phosphate, dikinase, PPDK, space"
1468633.0,"heterosis, grain, yield, chromosome, grain, yield, grain, yield"
14688289.0,
14701934.0,"turgor, pressure"
14704191.0,
14704193.0,
14704428.0,"chromosome, chromosome"
14717609.0,"protein, content, seed"
14729259.0,R3
14730079.0,"fertilization, chromosome"
14740012.0,
14742877.0,
14760521.0,
14764905.0,leaves
1477558.0,
1486797.0,"chromosome, chromosome, chromosome"
1495490.0,"seed, seed"
14963709.0,
14973167.0,chromosome
14979520.0,MS
1498600.0,"seed, seed"
1498612.0,
14988489.0,
14999285.0,"leaf, development"
15020478.0,space
15020742.0,chromosome
15034715.0,leaves
15037734.0,
15047902.0,"leaves, BS, BS, BS"
15061810.0,chromosome
15061811.0,"ear, height, grain, moisture, yield, plant, height, ear, height, grain, moisture"
15064375.0,
15070781.0,
15075398.0,
1508150.0,
15082562.0,"leaves, chromosome, shoot, development"
15082928.0,"fertilization, fertilization, R7"
15084729.0,"transformation, leaves"
15105441.0,
15107503.0,
15122037.0,"ADP-glucose, pyrophosphorylase"
15125772.0,"flowering, flowering, flowering, flowering, flowering, flowering"
15126409.0,"chromosome, chromosome, chromosome"
15127223.0,
15138821.0,"light, sensitivity"
15141070.0,"leaves, leaves, leaves"
1515612.0,
15159549.0,"embryogenesis, seed"
15159621.0,"leaf, spot, lesion, mimic, chromosome, lesion, mimic, leaves, leaves"
15161968.0,"endosperm, color, branching"
15165181.0,
15165185.0,"chromosome, chromosome"
1516751.0,"leaf, development, leaf, development, leaf, development"
15169755.0,"leaves, leaves, leaves, leaves"
15179549.0,"seed, root, weight, germination, index, seed"
15194819.0,
15196053.0,
15208386.0,pigmentation
15220389.0,chromosome
15221456.0,
15225879.0,leaves
1522603.0,
1522605.0,
15237968.0,
15245332.0,
15246058.0,"sugar, content"
15253937.0,"leaf, development, leaf, development"
15257762.0,"lignin, biosynthesis, lignin, content, peroxidase, activity"
1527010.0,seed
1527026.0,
15280246.0,
15280251.0,
15296088.0,
15305606.0,"stem, rust, leaf, rust, leaf, rust"
15308333.0,
15321719.0,
1532784.0,"seed, maturation, seed, seed"
15329722.0,"phyllotaxy, leaves, phyllotaxy, leaves, phyllotaxy, space"
15342478.0,"leaf, development"
15342530.0,"chromosome, end, end, chromosome"
15342531.0,
15342532.0,"pigmentation, morphological, morphological"
15342909.0,chromosome
15347785.0,
15355346.0,"protein, synthesis, protein, synthesis, heat, tolerance, heat, tolerance"
15355866.0,photosynthesis
1535626.0,
15363843.0,
15448177.0,"leaves, end, leaves, leaves"
15466289.0,
15466291.0,seed
15475375.0,"kernel, development"
15499410.0,"lesion, mimic, lesion, mimic, chromosome, chromosome"
15517148.0,"drought, tolerance, drought, response, drought, tolerance, osmotic, potential, drought, tolerance"
15517990.0,"seed, seed"
1551872.0,"seed, seed, seed"
15520264.0,
15541299.0,
15542500.0,
15545295.0,"seed, protein, kinase, activity, protein, kinase, activity"
15546363.0,"drought, tolerance, leaves, leaves"
15551040.0,"grain, yield, grain, yield, silking, date, grain, moisture, chromosome, flowering, grain, yield"
15564524.0,flowering
15564534.0,globulin
15567410.0,
15577912.0,
15579713.0,
15587076.0,pigmentation
1558957.0,
15596104.0,"alcohol, dehydrogenase, activity"
15598799.0,
15599762.0,
15604657.0,
15604667.0,leaves
15604718.0,"stress, response, leaves, leaves, leaves"
15604747.0,"leaves, pigmentation"
15604752.0,
15611182.0,"flowering, flowering"
15611184.0,"flowering, flowering, flowering"
15644172.0,
1565662.0,"leaves, leaves"
15659635.0,
15667207.0,"PPDK, PPDK, PPDK"
15681383.0,"fertilization, flowering"
15681663.0,
15684019.0,
15689530.0,"inflorescence, development, flowering"
15700421.0,
15705951.0,
15716051.0,
15716347.0,"seed, spikelet, density"
15719212.0,"grain, yield, morphological, yield, yield, yield, yield, yield, yield, yield, yield, yield, yield, yield, wheat, yield"
15722466.0,"pigmentation, pericarp, color"
15731930.0,"supernodulation, supernodulation, supernodulation, supernodulation"
15746157.0,
1577169.0,
1577278.0,"anthocyanin, pigmentation"
15793573.0,
15805107.0,leaves
15805483.0,
15806344.0,"corn, earworm, pericarp, color, DFR"
15821872.0,
15829513.0,"response, to, red, light"
15830133.0,
15834137.0,
15837706.0,"phyllotaxy, leaves"
15838668.0,
15849299.0,
15849306.0,"trichome, size"
15883011.0,leaves
15888682.0,
15891912.0,
15897229.0,seed
15907695.0,leaves
15908951.0,
15912345.0,
15913312.0,
15916952.0,chromosome
15918884.0,
1592237.0,"chromosome, chromosome, chromosome"
15927342.0,"sugar, content"
15937132.0,
15937141.0,
15939664.0,
15941398.0,
15950610.0,"leaves, leaves, leaves, leaves, leaves"
15951422.0,
15956664.0,pigmentation
15958531.0,"leaves, shoot, development"
15958796.0,
1596272.0,morphological
15965263.0,"chromosome, chromosome"
15979170.0,"CC, CC"
15980185.0,leaves
15980188.0,
15980192.0,flowering
15980197.0,leaves
15998316.0,seed
1600153.0,
16005581.0,"end, transformation"
16008521.0,GS
16020780.0,
16021501.0,leaves
16025339.0,"invertase, activity, seed, seed, weight, seed, seed, seed"
16027978.0,seed
1603067.0,end
16034586.0,
16041362.0,"flowering, branching"
16056225.0,
16079849.0,
16101924.0,"mycorrhizal, infection, mycorrhizal, infection, photosynthesis, mycorrhizal, infection"
16120446.0,
16120802.0,
16132467.0,
16141451.0,
16143613.0,"end, end"
16146520.0,chromosome
1616479.0,
16167895.0,"seed, seed, seed"
16170456.0,"flowering, flowering"
16183851.0,
16199614.0,
1620095.0,
16204211.0,"flowering, branching, chromosome, morphological"
16230639.0,
1623178.0,
1623180.0,"chromosome, chromosome"
16240181.0,"bZIP, bZIP, bZIP"
16243905.0,"leaves, BS, BS"
16244141.0,"leaves, transformation"
16244856.0,"flowering, chromosome, flowering, flowering, chromosome, flowering, chromosome, flowering"
16247560.0,chromosome
16270225.0,
1627771.0,"iron, concentration, leaves"
1627781.0,
16299185.0,
16299389.0,
16307364.0,
16331466.0,
1633495.0,"seed, maturation"
16336045.0,
16359397.0,
16361393.0,"vitamin, E, seed, vitamin, E, seed, seed"
16362327.0,"chromosome, seed"
16367968.0,
16367969.0,"seed, seed"
16379013.0,
16395569.0,"grain, yield, seed, chromosome, tassel, branch, number"
16395584.0,"seed, seed, seed"
16399802.0,"leaves, branching, branching, chromosome"
16407440.0,fertilization
16415333.0,
16418295.0,
16460507.0,
16461583.0,"chromosome, chromosome, chromosome"
16463062.0,"yield, yield, WSBMV"
16463102.0,
1648001.0,pigmentation
1648169.0,
16492777.0,"chromosome, chromosome, chromosome, chromosome"
1653403.0,"leaves, PPDK, leaves, leaves, PPDK"
16547863.0,leaves
1657702.0,
16582446.0,chromosome
1658596.0,end
1660568.0,
16606624.0,
16607513.0,
1660830.0,
1661256.0,
1661257.0,"chromosome, chromosome"
1661668.0,
1664299.0,"cytoplasmic, male, sterility, male, sterility"
1668652.0,
1668653.0,"PPDK, PPDK, leaf, development"
16688177.0,"branching, yield, branching, yield, seed, branching, branching, inflorescence, branching"
1668837.0,
16696949.0,"PPDK, PPDK"
16702420.0,
16709191.0,
1673220.0,pigmentation
1674815.0,
16751673.0,
16752131.0,
16784536.0,"flowering, flowering, leaves"
16798950.0,
16816430.0,
16820394.0,
1682214.0,"seed, pigmentation"
1682215.0,"morphological, morphological, morphological, morphological"
16844839.0,
16849604.0,"fertilization, seed, seed, fertilization, seed, fertilization"
16849609.0,"chromosome, chromosome, chromosome, end"
16855589.0,
16858691.0,"leaves, leaves, leaves, shoot, development"
16868028.0,
1688125.0,seed
16891549.0,"plant, height, leaf, number, leaf, development"
1692018.0,"PEPC, photosynthesis, leaves"
16925599.0,"leaves, PEPC, PEPC, PEPC"
16925601.0,
16941210.0,"lignin, biosynthesis, lignin, content"
16951074.0,flowering
16968137.0,
1697818.0,end
16984999.0,
16987950.0,"WUS, WUS, WUS, WUS, WUS"
17001496.0,leaves
17005920.0,"leaves, leaves"
1700963.0,"AC, pigmentation"
17010110.0,
1701208.0,"male, sterile, male, sterile, male, sterile"
1701749.0,
1702215.0,cyclophilin
17029561.0,
17041147.0,
17062571.0,morphological
17071639.0,"leaves, pigmentation, chlorosis, leaves, leaves"
17071646.0,"flowering, leaves, flowering, flowering, leaves, emergent, flowering"
17071648.0,
17073305.0,leaves
1708720.0,"end, protein, synthesis"
1709276.0,
17094807.0,"chromosome, seed"
17095711.0,
17101975.0,"end, space"
17132148.0,
1714315.0,leaves
1714322.0,
1714383.0,
1715206.0,
17167201.0,"FAD2, FAD2, FAD2, FAD2, FAD2"
1717817.0,
17179091.0,"glume, pigmentation, pigmentation, pigmentation"
1719548.0,
1720313.0,"branching, branching, branching, branching"
17204643.0,"cotyledon, chromosome, cotyledon"
17209126.0,"LOB, leaf, morphology, leaves, leaves"
17220362.0,
17225858.0,"pollen, tube, growth, pollen, tube, growth"
1722972.0,"globulin, globulin"
17244631.0,"seed, seed, fertilization, seed, seed, seed"
17259266.0,seed
1726722.0,
17305816.0,
17307899.0,
1731354.0,leaves
1731773.0,
1731984.0,transformation
17320501.0,
17322406.0,"chromosome, chromosome, chromosome, chromosome, chromosome, chromosome, chromosome, chromosome, chromosome, chromosome"
17351787.0,
1735665.0,yield
1736099.0,
17369828.0,
17384163.0,"protein, synthesis, protein, synthesis"
17403777.0,leaves
17425722.0,"LOB, LOB, chromosome, RTCL, RTCL"
17434986.0,leaves
17435245.0,
17437065.0,
1744135.0,
17449648.0,
17456599.0,
17461782.0,"photosynthesis, biomass, stomatal, conductance, photosynthesis"
17468264.0,morphological
17486311.0,"maysin, content, corn, earworm"
17490480.0,seed
17507687.0,"male, sterile, seed, chromosome, chromosome, chromosome"
1752424.0,globulin
17524611.0,
17535825.0,"leaves, leaves"
1756176.0,
17562699.0,
17573537.0,
17595297.0,flowering
17612519.0,"inflorescence, development"
17643192.0,chromosome
17658954.0,chromosome
17660568.0,
17660570.0,
17662031.0,
17668219.0,"leaves, flowering, seed, height"
1766868.0,
17672843.0,"seed, chromosome, chromosome"
17676037.0,"seed, seed"
17684023.0,"flowering, seed, weight, seed, seed"
17693527.0,
17693529.0,
17696876.0,
17709752.0,"cotyledon, leaves, cotyledon, cotyledon, seed, maturation, leaves"
17722696.0,anthracnose
17768306.0,
1783393.0,
17922288.0,
17923671.0,"drought, tolerance, grain, yield"
17928372.0,"flowering, leaves, leaves, leaves, leaves, leaves, leaves, photosynthesis"
17932309.0,"cellulose, content, cellulose, content, leaves, dry, mass, leaves, leaves, leaves"
17940002.0,"bHLH, bHLH, bHLH, bHLH"
17941719.0,
17947410.0,
17947434.0,"morphological, morphological, seed"
17993543.0,
18026103.0,branching
18052885.0,"leaf, spot"
18052887.0,"9-lipoxygenase, root, length, plant, height"
18065687.0,
18083907.0,chromosome
18156218.0,
18162592.0,leaves
1817577.0,
18192444.0,"yield, chromosome"
18202289.0,
18202357.0,"chromosome, chromosome"
18202358.0,end
18202393.0,chromosome
18203869.0,"abscisic, acid, accumulation, seed, maturation"
1821766.0,"floury, endosperm"
18218972.0,leaves
18218975.0,
1822992.0,seed
18230731.0,leaves
18239133.0,
18245455.0,
18278045.0,seed
18285342.0,"flavor, fragrance, flavor"
18296625.0,seed
18296628.0,leaves
18298667.0,"grain, yield"
18301915.0,
18301989.0,"cotyledon, cotyledon"
1830496.0,embryogenesis
18311542.0,"seed, size, seed, kernel, development, kernel, development"
18316315.0,
18327644.0,
1837331.0,leaves
18399934.0,"aluminum, toxicity"
1840396.0,"SPS, SPS, SPS, leaves, SPS, SPS"
1840527.0,
1840689.0,
1840906.0,
1840923.0,"seed, maturation"
1840924.0,
18427771.0,
18430213.0,
18430921.0,"pigmentation, pigmentation, pigmentation"
18430961.0,flowering
18433931.0,"seed, seed"
18464041.0,
18466309.0,"inflorescence, development"
18470186.0,"chromosome, chromosome, chromosome, grain, color, R3, chromosome"
